t,month,year,covid,control,extra_mon,extra_tue,extra_wed,extra_thu,extra_fri,extra_sat,extra_sun,top30,fulldata,mon_ct,tue_ct,wed_ct,thu_ct,fri_ct,sat_ct,sun_ct,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,day_ct
39,8,2006,0,0,0,1,1,1,0,0,0,0,1,4,5,5,5,4,4,4,232818.0,53110.0,19017.99,2941.75,12282.81,571.31,18296.14,3473.0,378.0,2790949.0,956738.0,216009.0,503705.0,20787.0,1093710.0,34813
39,8,2006,0,0,0,1,1,1,0,0,0,1,1,4,5,5,5,4,4,4,395914.0,87674.0,22348.28,3303.58,31982.13,1142.13,28897.97,6310.0,1192.0,4855093.0,1290020.0,236927.0,1518351.0,43540.0,1766255.0,12555
40,9,2006,0,0,0,0,0,0,1,1,0,0,1,4,4,4,4,5,5,4,217136.0,45217.0,15503.83,2561.66,11549.17,137.45,15464.59,3519.0,372.0,2348291.0,768118.0,184727.0,442275.0,5284.0,947887.0,34110
40,9,2006,0,0,0,0,0,0,1,1,0,1,1,4,4,4,4,5,5,4,367801.0,82683.0,18053.5,2839.36,37434.56,220.85,24134.9,6431.0,865.0,4680031.0,1070320.0,221200.0,1875211.0,8129.0,1505171.0,12240
41,10,2006,0,0,1,1,0,0,0,0,1,0,1,5,5,4,4,4,4,5,226436.0,54947.0,18198.46,2865.03,14285.27,129.87,19468.16,4153.0,314.0,2848725.0,917943.0,211703.0,524952.0,4201.0,1189926.0,33759
41,10,2006,0,0,1,1,0,0,0,0,1,1,1,5,5,4,4,4,4,5,385282.0,98120.0,20580.68,2956.49,44952.35,251.68,29378.83,7246.0,919.0,5479863.0,1211402.0,227861.0,2213467.0,7174.0,1819959.0,12245
42,11,2006,0,0,0,0,1,1,0,0,0,0,1,4,4,5,5,4,4,4,216521.0,44749.0,15874.6,2011.84,11596.6,118.21000000000001,15147.95,3501.0,394.0,2146484.0,758785.0,132228.0,400891.0,3875.0,850705.0,32310
42,11,2006,0,0,0,0,1,1,0,0,0,1,1,4,4,5,5,4,4,4,369676.0,82241.0,18322.23,2622.11,36589.59,193.29,24513.93,6057.0,675.0,4464812.0,1024820.0,202884.0,1795034.0,6212.0,1435862.0,11910
43,12,2006,0,0,0,0,0,0,1,1,1,0,1,4,4,4,4,5,5,5,223202.0,57159.0,21800.06,2499.86,11418.23,211.01,21229.82,6473.0,555.0,3013203.0,1075352.0,174281.0,432509.0,6922.0,1324139.0,34379
43,12,2006,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,5,5,5,381556.0,99969.0,25354.81,3379.53,37857.19,406.3,32971.29,11621.0,838.0,5687291.0,1408725.0,272191.0,1921073.0,12745.0,2072557.0,12307
44,1,2007,0,0,1,1,1,0,0,0,0,0,1,5,5,5,4,4,4,4,235581.0,55362.0,19274.07,3117.02,13900.77,118.35,18952.04,6468.0,627.0,2800233.0,941493.0,221522.0,519291.0,4010.0,1113917.0,37417
44,1,2007,0,0,1,1,1,0,0,0,0,1,1,5,5,5,4,4,4,4,385978.0,94782.0,22714.59,3914.81,37915.44,229.22,30007.88,9309.0,573.0,5056535.0,1258719.0,283603.0,1715021.0,8114.0,1791078.0,12617
45,2,2007,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,213844.0,59088.0,21433.37,3291.74,13592.6,160.23,20610.13,9126.0,511.0,3183787.0,1148282.0,250483.0,524311.0,5287.0,1255424.0,33656
45,2,2007,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,351760.0,99347.0,24685.4,4518.31,36362.62,256.17,33524.55,16339.0,750.0,5699740.0,1470219.0,395813.0,1684276.0,8857.0,2140575.0,11424
46,3,2007,0,0,0,0,0,1,1,1,0,0,1,4,4,4,5,5,5,4,241447.0,55176.0,21036.6,2256.66,11987.77,142.14,19752.74,5633.0,430.0,2956354.0,1071817.0,175920.0,456673.0,4939.0,1247005.0,37293
46,3,2007,0,0,0,0,0,1,1,1,0,1,1,4,4,4,5,5,5,4,397762.0,97513.0,25784.87,2857.73,36682.4,253.69,31934.54,11244.0,845.0,5637059.0,1476764.0,228940.0,1847637.0,8798.0,2074920.0,12524
47,4,2007,0,0,1,0,0,0,0,0,1,0,1,5,4,4,4,4,4,5,232992.0,48630.0,17825.74,1904.47,11501.59,131.08,17267.35,3790.0,403.0,2452241.0,866293.0,132526.0,409761.0,4961.0,1038700.0,36810
47,4,2007,0,0,1,0,0,0,0,0,1,1,1,5,4,4,4,4,4,5,381656.0,88361.0,21376.22,2416.37,35908.32,255.53,28404.61,7348.0,790.0,4990011.0,1212339.0,184898.0,1795364.0,9492.0,1787918.0,12210
48,5,2007,0,0,0,1,1,1,0,0,0,0,1,4,5,5,5,4,4,4,241293.0,47957.0,16850.16,2286.93,12138.83,128.92,16552.12,2338.0,337.0,2432613.0,807365.0,177400.0,467947.0,4240.0,975661.0,37262
48,5,2007,0,0,0,1,1,1,0,0,0,1,1,4,5,5,5,4,4,4,390316.0,83341.0,19602.38,2540.82,35160.1,219.15,25818.6,4503.0,1105.0,4431966.0,1111951.0,204867.0,1596029.0,7446.0,1511673.0,12710
49,6,2007,0,0,0,0,0,0,1,1,0,0,1,4,4,4,4,5,5,4,242313.0,68525.0,23901.21,4141.69,15373.58,242.69,24865.88,6092.0,475.0,4112689.0,1277840.0,369452.0,776305.0,8440.0,1680652.0,37200
49,6,2007,0,0,0,0,0,0,1,1,0,1,1,4,4,4,4,5,5,4,386967.0,112977.0,27383.45,4813.31,42090.340000000004,342.57,38347.35,11151.0,1724.0,7318480.0,1714441.0,433757.0,2467955.0,12120.0,2690207.0,12480
50,7,2007,0,0,1,1,0,0,0,0,1,0,1,5,5,4,4,4,4,5,249373.0,69319.0,25056.69,3912.0099999999998,15215.36,294.98,24839.93,4742.0,515.0,3955829.0,1339196.0,311180.0,688209.0,10878.0,1606366.0,37820
50,7,2007,0,0,1,1,0,0,0,0,1,1,1,5,5,4,4,4,4,5,399187.0,111000.0,27250.55,4624.12,39583.88,342.24,39199.36,8764.0,1635.0,6859982.0,1668861.0,387060.0,2123259.0,12167.0,2668635.0,12710
51,8,2007,0,0,0,0,1,1,1,0,0,0,1,4,4,5,5,5,4,4,251901.0,64996.0,24258.97,3095.35,13768.24,209.72,23663.72,4411.0,561.0,3625715.0,1270222.0,243260.0,597880.0,7145.0,1507208.0,37975
51,8,2007,0,0,0,0,1,1,1,0,0,1,1,4,4,5,5,5,4,4,401378.0,105855.0,25999.91,3629.2,39014.91,309.57,36901.38,7884.0,1540.0,6440193.0,1595791.0,303921.0,2103818.0,10826.0,2425837.0,12772
52,9,2007,0,0,0,0,0,0,0,1,1,0,1,4,4,4,4,4,5,5,230602.0,38688.0,15271.03,1521.72,9025.55,129.47,12740.37,2302.0,295.0,1916395.0,764401.0,114686.0,331761.0,4909.0,700638.0,36570
52,9,2007,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,4,5,5,369585.0,63695.0,16246.23,1813.9,26305.19,141.56,19187.99,4205.0,667.0,3378065.0,983845.0,132203.0,1163524.0,6335.0,1092158.0,12450
53,10,2007,0,0,1,1,1,0,0,0,0,0,1,5,5,5,4,4,4,4,241858.0,46539.0,16962.54,1797.37,11408.61,108.25999999999999,16262.12,2468.0,280.0,2245753.0,828105.0,123000.0,404766.0,4462.0,885420.0,37138
53,10,2007,0,0,1,1,1,0,0,0,0,1,1,5,5,5,4,4,4,4,388134.0,82438.0,18496.88,2220.48,36122.06,178.34,25420.42,4859.0,720.0,4428578.0,1080187.0,164745.0,1723093.0,7150.0,1453403.0,12679
54,11,2007,0,0,0,0,0,1,1,0,0,0,1,4,4,4,5,5,4,4,232241.0,40413.0,15601.07,1469.13,8803.01,93.32,14446.58,2178.0,409.0,1947083.0,760298.0,90525.0,291064.0,3265.0,801931.0,35910
